PlayerID,PlayerName,PositionID,TeamID
1,Kamar Aiken,3,1
2,Marlon Brown,3,1
3,Jeremy Butler,3,1
4,Michael Campanaro,3,1
5,Owen Daniels,4,1
6,Joe Flacco,1,1
7,Justin Forsett,2,1
8,Crockett Gillmore,4,1
9,Jacoby Jones,3,1
10,Bernard Pierce,2,1
11,Dennis Pitta,4,1
12,Steve Smith,3,1
13,Torrey Smith,3,1
14,Lorenzo Taliaferro,2,1
15,Tyrod Taylor,1,1
16,Justin Tucker,5,1
17,C.J. Anderson,2,2
18,Montee Ball,2,2
19,Connor Barth,5,2
20,Isaiah Burse,3,2
21,Andre Caldwell,3,2
22,Ronnie Hillman,2,2
23,Cody Latimer,3,2
24,Peyton Manning,1,2
25,Jordan Norwood,3,2
26,OPEN OPEN,4,2
27,Brock Osweiler,1,2
28,Emmanuel Sanders,3,2
29,Jacob Tamme,4,2
30,Demaryius Thomas,3,2
31,Julius Thomas,4,2
32,Juwan Thompson,2,2
33,Wes Welker,3,2
34,George Atkinson,2,3
35,David Ausberry,3,3
36,Brice Butler,3,3
37,Derek Carr,1,3
38,Andre Holmes,3,3
39,Sebastian Janikowski,5,3
40,James Jones,3,3
41,Taiwan Jones,2,3
42,Maurice Jones-Drew,2,3
43,Nick Kasa,4,3
44,Brian Leonhardt,4,3
45,Darren McFadden,2,3
46,Matt McGloin,1,3
47,Denarius Moore,3,3
48,Latavius Murray,2,3
49,Marcel Reece,4,3
50,Mychal Rivera,4,3
51,Matt Schaub,1,3
52,Kory Sheets,2,3
53,Rod Streater,3,3
54,Kenbrell Thompkins,3,3
55,Matt Barkley,1,4
56,Trey Burton,4,4
57,James Casey,4,4
58,Brent Celek,4,4
59,Riley Cooper,3,4
60,Zach Ertz,4,4
61,Nick Foles,1,4
62,Josh Huff,3,4
63,Jeremy Maclin,3,4
64,Jeff Maehl,3,4
65,Jordan Matthews,3,4
66,LeSean McCoy,2,4
67,Cody Parkey,5,4
68,Chris Polk,2,4
69,Mark Sanchez,1,4
70,Brad Smith,1,4
71,Darren Sproles,2,4
72,Dan Bailey,5,5
73,Cole Beasley,3,5
74,Dez Bryant,3,5
75,Lance Dunbar,2,5
76,Gavin Escobar,4,5
77,James Hanna,4,5
78,Dwayne Harris,3,5
79,DeMarco Murray,2,5
80,Jordan Najvar,4,5
81,Joseph Randle,2,5
82,Tony Romo,1,5
83,Devin Street,3,5
84,Dustin Vaughan,1,5
85,Brandon Weeden,1,5
86,Terrance Williams,3,5
87,Jason Witten,4,5
88,Justin Blackmon,3,6
89,Blake Bortles,1,6
90,Damian Copeland,3,6
91,Tandon Doss,3,6
92,Toby Gerhart,2,6
93,Clay Harbor,4,6
94,Chad Henne,1,6
95,Allen Hurns,3,6
96,Nic Jacobs,4,6
97,Marcel Jensen,4,6
98,Storm Johnson,2,6
99,Marqise Lee,3,6
100,Marcedes Lewis,4,6
101,Fendi Onobun,4,6
102,Allen Robinson,3,6
103,Denard Robinson,3,6
104,Ace Sanders,3,6
105,Josh Scobee,5,6
106,Cecil Shorts,3,6
107,Tommy Streeter,3,6
108,Will Taufoou,2,6
109,Jordan Todman,2,6
110,Teddy Williams,3,6
111,Dwayne Allen,4,7
112,Vick Ballard,2,7
113,Ahmad Bradshaw,2,7
114,Josh Cribbs,3,7
115,Jack Doyle,4,7
116,Coby Fleener,4,7
117,Matt Hasselbeck,1,7
118,Dan Herron,2,7
119,T.Y. Hilton,3,7
120,Andrew Luck,1,7
